                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.1846,                 1.4122,                  1.634,                0.49191,                 0.8051,                0.53922,                0.32414,                 1.4406,                 1.2592,                 2.1543,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.1633,                 1.3768,                 1.6238,                0.47978,                0.84163,                0.55737,                0.32823,                 1.4227,                 1.2368,                 2.1293,             0.00046226,             0.00046226,             0.00046226
                     76,                   1.23,                 1.4498,                 1.6505,                0.52308,                0.83604,                0.57801,                0.33749,                 1.4628,                   1.27,                 2.1178,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.1777,                  1.351,                 1.6342,                0.52393,                0.75009,                0.56743,                0.31712,                 1.4317,                 1.3384,                 2.0793,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.1395,                 1.3623,                  1.576,                0.43921,                0.80056,                0.54944,                 0.3196,                 1.3551,                 1.3448,                 2.0767,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.1516,                 1.3474,                 1.6356,                0.43504,                0.76924,                0.54792,                0.31837,                 1.3159,                 1.3103,                 2.0498,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.2087,                 1.4436,                 1.6368,                0.42949,                0.86582,                0.55289,                0.33631,                 1.3554,                 1.2539,                 2.0729,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.1965,                 1.4476,                 1.6469,                0.46236,                0.85586,                0.57585,                0.32544,                 1.4602,                 1.2993,                 2.1742,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.2052,                 1.4053,                 1.6508,                0.43938,                0.83409,                0.55932,                0.31912,                 1.4455,                 1.2975,                 2.1927,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.2071,                 1.4161,                 1.6274,                0.46974,                0.85307,                0.59414,                0.32378,                  1.449,                 1.2643,                 2.2155,             0.00033023,             0.00033023,             0.00033023
                     84,                  1.196,                 1.3668,                 1.6777,                0.48463,                0.84658,                0.56788,                0.31662,                 1.4379,                 1.2672,                 2.1664,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.0867,                 1.2902,                 1.5542,                0.48873,                0.90004,                0.59606,                0.32472,                 1.4084,                  1.249,                 2.1052,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.1528,                 1.3423,                 1.5939,                0.51212,                0.73613,                0.57083,                0.31208,                 1.3984,                 1.2245,                 2.0786,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.1109,                 1.3119,                 1.5695,                0.49482,                0.77061,                  0.572,                0.31299,                  1.406,                 1.2273,                 2.0838,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.1123,                  1.364,                  1.545,                0.49795,                0.84569,                0.60012,                 0.3292,                 1.4199,                 1.2125,                 2.1205,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.0973,                 1.2654,                 1.5312,                 0.5178,                0.78647,                0.61881,                0.34795,                 1.4055,                 1.1962,                 2.0993,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.0873,                 1.2414,                 1.5596,                0.55047,                0.68163,                0.61247,                0.35448,                  1.364,                 1.1983,                  2.052,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.1051,                 1.4328,                 1.7573,                0.59393,                0.69265,                0.62912,                0.37192,                 1.3376,                 1.2141,                 2.0595,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.0705,                 1.3481,                 1.8039,                 0.5598,                0.73163,                 0.6493,                0.37199,                  1.355,                   1.23,                  2.069,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.0779,                 1.2697,                 1.7494,                0.52752,                0.77061,                0.65494,                0.37625,                 1.3773,                 1.2271,                 2.0923,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.0441,                 1.2247,                  1.686,                0.55788,                0.73613,                0.65508,                0.36822,                 1.4421,                 1.2556,                 2.1736,              0.0001487,              0.0001487,              0.0001487
                     95,                0.98346,                 1.1579,                  1.616,                0.49299,                 0.7994,                0.63364,                 0.3594,                 1.4605,                 1.2724,                 2.2007,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.0131,                 1.1588,                 1.7212,                0.50354,                0.86135,                0.64034,                0.35732,                 1.4589,                  1.262,                 2.1909,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.0033,                  1.165,                    1.7,                0.49541,                0.78333,                  0.616,                0.33291,                 1.4461,                 1.2458,                 2.1832,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.0006,                 1.1934,                  1.656,                0.51621,                 0.7952,                0.60247,                0.32287,                 1.4397,                 1.2403,                 2.1738,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.0077,                 1.1333,                 1.6465,                 0.5266,                0.81504,                0.59626,                0.31571,                 1.4331,                 1.2526,                 2.1757,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.94676,                 1.1314,                 1.6584,                0.51025,                 0.7895,                0.59285,                0.31846,                 1.4315,                 1.2658,                 2.1619,             4.9677e-05,             4.9677e-05,             4.9677e-05
